Site,Species,Worm,Deer,Dry.Year.gm2,Standard.exchange.P.20,Standard.Total.P.20,SoilN.20Pool,P.Exch.Conc  ,P.Total.Conc  ,SoilN,Height,Dry.mass.above,Survival,L.4.L,Arbuscules,Vesicles,Coil,DSE,DSE.binomial,All.Mycorhizae,Arb.Ves
HH,Cornus,0,0,0,3.941438763,1.265580057,17.43943416,0.496240601,1.590137044,0.385476192,9.2,0.08,1,0.556271071,,,,,,,   
YB,Cornus,1,1,1.916,0.181926278,1.075743049,0.749769089,0.793984962,0.927191915,0.29,9,0.04,1,0.513250078,0,1,15,0,0,15,0.94
YB,Cornus,1,1,1.916,0.181926278,1.075743049,0.749769089,0.793984962,0.927191915,0.29,9,0.03,1,0.562479483,,,,,,,   
YB,Cornus,1,1,1.916,0.181926278,1.075743049,0.749769089,0.793984962,0.927191915,0.29,7,0.13,1,0.458558226,8,8,7,0,0,15,0.65
YB,Cornus,1,1,1.916,0.181926278,1.075743049,0.749769089,0.793984962,0.927191915,0.29,9,0.09,1,0.429899082,10,2,20,0,0,30,0.94
YB,Cornus,1,0,1.756,0.259512485,1.103427613,1.678423269,1.315037594,1.058151225,0.585131671,12,0.1,1,0.495410138,,,,,,,   
YB,Cornus,1,0,1.756,0.259512485,1.103427613,1.678423269,1.315037594,1.058151225,0.585131671,11.3,0.07,1,0.446358632,,,,,,,   
YB,Cornus,1,0,1.756,0.259512485,1.103427613,1.678423269,1.315037594,1.058151225,0.585131671,14.2,0.13,1,0.393303026,0,1,6,0,0,6,0.86
YB,Cornus,1,0,1.756,0.259512485,1.103427613,1.678423269,1.315037594,1.058151225,0.585131671,9.4,0.11,1,0.426346324,17,1.5,5.5,2.5,1,22.5,0.94
YB,Cornus,0,1,0.004,1.144173603,2.270134228,2.371279933,1.538345865,0.934176411,0.25,9,0.11,0.5,0.590538845,,,,,,,   
YB,Cornus,0,1,0.004,1.144173603,2.270134228,2.371279933,1.538345865,0.934176411,0.25,13.5,0.09,0.5,0.627287098,,,,,,,   
YB,Cornus,0,1,0.004,1.144173603,2.270134228,2.371279933,1.538345865,0.934176411,0.25,11,,0.5,,,,,,,,   
YB,Cornus,0,1,0.004,1.144173603,2.270134228,2.371279933,1.538345865,0.934176411,0.25,15,,0.5,,,,,,,,   
YB,Cornus,0,0,0.052,0.425386445,1.376318313,1.212913691,1.786466166,0.985687074,0.458600047,8.5,0.06,1,0.625184181,2,0.5,4.5,0,0,6.5,0.93
YB,Cornus,0,0,0.052,0.425386445,1.376318313,1.212913691,1.786466166,0.985687074,0.458600047,6.8,0.06,1,0.394905382,20,8,2,1,1,22,0.73
YB,Cornus,0,0,0.052,0.425386445,1.376318313,1.212913691,1.786466166,0.985687074,0.458600047,15.4,0.15,1,0.431088262,19.5,8,0,0.5,0.5,19.5,0.71
YB,Cornus,0,0,0.052,0.425386445,1.376318313,1.212913691,1.786466166,0.985687074,0.458600047,9.8,0.12,1,0.482050107,,,,,,,   
BOBO,Prenanthes,1,1,2.164,0.731272295,0.838446788,,1.637593985,0.740356633,0.37,6.3,0.02,0.25,0.355936854,0,9,20,20,20,20,0.69
BOBO,Prenanthes,1,1,2.164,0.731272295,0.838446788,,1.637593985,0.740356633,0.37,7,,0.25,,,,,,,,   
BOBO,Prenanthes,1,1,2.164,0.731272295,0.838446788,,1.637593985,0.740356633,0.37,8.5,,0.25,,2,3,1,16,16,3,0.5
BOBO,Prenanthes,1,1,2.164,0.731272295,0.838446788,,1.637593985,0.740356633,0.37,7.2,,0.25,,,,,,,,   
BOBO,Prenanthes,1,0,1.944,0.363852557,0.984779483,2.212424911,0.818796993,1.067754908,0.55011499,4.3,0.01,0.5,0.659686327,2,8,19,1,1,21,0.72
BOBO,Prenanthes,1,0,1.944,0.363852557,0.984779483,2.212424911,0.818796993,1.067754908,0.55011499,10,0.07,0.5,0.628219024,,,,,,,   
BOBO,Prenanthes,1,0,1.944,0.363852557,0.984779483,2.212424911,0.818796993,1.067754908,0.55011499,8.7,,0.5,,,,,,,,   
BOBO,Prenanthes,1,0,1.944,0.363852557,0.984779483,2.212424911,0.818796993,1.067754908,0.55011499,9,,0.5,,,,,,,,   
BOBO,Prenanthes,0,1,0.012,1.815695601,0.427133269,0.238577892,0.562406015,0.712418647,0.56400492,11.7,0.05,1,0.663515648,2,20,34,2,2,36,0.64
BOBO,Prenanthes,0,1,0.012,1.815695601,0.427133269,0.238577892,0.562406015,0.712418647,0.56400492,5,0.01,1,0.608969459,0,1,29,24,24,29,0.97
BOBO,Prenanthes,0,1,0.012,1.815695601,0.427133269,0.238577892,0.562406015,0.712418647,0.56400492,7.5,0.02,1,0.514481793,4,10,30,8,8,34,0.77
BOBO,Prenanthes,0,1,0.012,1.815695601,0.427133269,0.238577892,0.562406015,0.712418647,0.56400492,14,0.13,1,0.568037118,3,11,20,11,11,23,0.68
BOBO,Prenanthes,0,0,,1.815695601,0.427133269,,,,,15.2,,0,,,,,,,,   
BOBO,Prenanthes,0,0,,1.815695601,0.427133269,,,,,7.7,,0,,,,,,,,   
BOBO,Prenanthes,0,0,,1.815695601,0.427133269,,,,,14.5,,0,,,,,,,,   
BOBO,Prenanthes,0,0,,1.815695601,0.427133269,,,,,8.6,,0,,,,,,,,   
RW,Prenanthes,1,1,0.644,0.232758621,0.648609779,,0.942857143,0.845124081,0.32,7.2,0.02,0.75,0.657207699,0,0,0,0,0,0,   
RW,Prenanthes,1,1,0.644,0.232758621,0.648609779,,0.942857143,0.845124081,0.32,5,0.02,0.75,0.46216536,13,18,24,19,19,37,0.67
RW,Prenanthes,1,1,0.644,0.232758621,0.648609779,,0.942857143,0.845124081,0.32,8,0.03,0.75,0.347534384,0,3,3,6,6,3,0.5
RW,Prenanthes,1,1,0.644,0.232758621,0.648609779,,0.942857143,0.845124081,0.32,13,,0.75,,,,,,,,   
RW,Prenanthes,1,0,3.268,0.60017836,1.419822627,0.819073446,1.190977444,0.795359543,0.308668914,6.7,,0,,,,,,,,   
RW,Prenanthes,1,0,3.268,0.60017836,1.419822627,0.819073446,1.190977444,0.795359543,0.308668914,7.5,,0,,,,,,,,   
RW,Prenanthes,1,0,3.268,0.60017836,1.419822627,0.819073446,1.190977444,0.795359543,0.308668914,9.5,,0,,,,,,,,   
RW,Prenanthes,1,0,3.268,0.60017836,1.419822627,0.819073446,1.190977444,0.795359543,0.308668914,8,,0,,,,,,,,   
RW,Prenanthes,0,1,,,,,,,,6.9,0.03,0.5,0.548639327,2,7,33,5,5,35,0.83
RW,Prenanthes,0,1,,,,,,,,11.3,0.02,0.5,0.351979138,0,0,22,18,18,22,1
RW,Prenanthes,0,1,,,,,,,,8.7,,0.5,,,,,,,,   
RW,Prenanthes,0,1,,,,,,,,7.7,0.05,0.5,,0,5,16,1,1,16,0.76
